input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
Michele Meridio,848.0,Michele MERIDIO,1.0,https://utmb.world/runner/1524379.michele.meridio,881.0,Michele MERIDIO,1.0,https://itra.run/RunnerSpace/MERIDIO.Michele/4163264,82.85,MERIDIO MICHELE,1.0,https://www.betrail.run/runner/meridio.michele/overview,861.2,
Diego Angella,844.0,Diego ANGELLA,1.0,https://utmb.world/runner/415878.diego.angella,883.0,Diego ANGELLA,1.0,https://itra.run/RunnerSpace/ANGELLA.Diego/415878,79.74,ANGELLA DIEGO,1.0,https://www.betrail.run/runner/angella.diego/overview,859.6,
Sergio Bonaldi,847.0,Sergio BONALDI,1.0,https://utmb.world/runner/4755402.sergio.bonaldi,863.0,Sergio BONALDI,1.0,https://itra.run/RunnerSpace/BONALDI.Sergio/4515283,83.32,BONALDI SERGIO,1.0,https://www.betrail.run/runner/bonaldi.sergio/overview,853.4000000000001,
Tiziano Scatolin,806.0,Tiziano SCATOLIN,1.0,https://utmb.world/runner/3999116.tiziano.scatolin,849.0,Tiziano SCATOLIN,1.0,https://itra.run/RunnerSpace/SCATOLIN.Tiziano/3999116,79.71,SCATOLIN TIZIANO,1.0,https://www.betrail.run/runner/scatolin.tiziano/overview,823.2,
MARCO GUBERT,796.0,Marco GUBERT,1.0,https://utmb.world/runner/880371.marco.gubert,846.0,Marco GUBERT,1.0,https://itra.run/RunnerSpace/GUBERT.Marco/880371,75.53,GUBERT MARCO,1.0,https://www.betrail.run/runner/gubert.marco/overview,816.0,
IVAN GERONAZZO,765.0,Ivan GERONAZZO,1.0,https://utmb.world/runner/34654.ivan.geronazzo,819.0,Ivan GERONAZZO,1.0,https://itra.run/RunnerSpace/GERONAZZO.Ivan/34654,72.81,GERONAZZO IVAN,1.0,https://www.betrail.run/runner/geronazzo.ivan/overview,786.6,
Alberto Freschi,762.0,Alberto FRESCHI,1.0,https://utmb.world/runner/4249785.alberto.freschi,807.0,Alberto FRESCHI,1.0,https://itra.run/RunnerSpace/FRESCHI.Alberto/4286529,,,,,780.0,
Alessio Zambon,761.0,Alessio ZAMBON,1.0,https://utmb.world/runner/650913.alessio.zambon,808.0,Alessio ZAMBON,1.0,https://itra.run/RunnerSpace/ZAMBON.Alessio/650913,75.47,ZAMBON ALESSIO,1.0,https://www.betrail.run/runner/zambon.alessio/overview,779.8,
Lorenzo De Rocco,764.0,Lorenzo DE ROCCO,1.0,https://utmb.world/runner/4231962.lorenzo.derocco,798.0,Lorenzo DE ROCCO,1.0,https://itra.run/RunnerSpace/DE ROCCO.Lorenzo/4157750,72.96,DE ROCCO LORENZO,1.0,https://www.betrail.run/runner/de.rocco.lorenzo/overview,777.6,
Fabrizio Trentin,732.0,Fabrizio TRENTIN,1.0,https://utmb.world/runner/6723641.fabrizio.trentin,786.0,Fabrizio TRENTIN,1.0,https://itra.run/RunnerSpace/TRENTIN.Fabrizio/6333289,68.43,TRENTIN FABRIZIO,1.0,https://www.betrail.run/runner/trentin.fabrizio/overview,753.6,
Ion Coban,727.0,Ion COBAN,1.0,https://utmb.world/runner/4833268.ion.coban,759.0,Ion COBAN,1.0,https://itra.run/RunnerSpace/COBAN.Ion/4658966,70.74,COBAN ION,1.0,https://www.betrail.run/runner/coban.ion/overview,739.8,
Fabio Pivato,728.0,Fabio PIVATO,1.0,https://utmb.world/runner/4249784.fabio.pivato,754.0,Fabio PIVATO,1.0,https://itra.run/RunnerSpace/PIVATO.Fabio/4286528,71.38,PIVATO FABIO,1.0,https://www.betrail.run/runner/pivato.fabio/overview,738.4000000000001,
Giulia Marchesoni,738.0,Giulia MARCHESONI,1.0,https://utmb.world/runner/880395.giulia.marchesoni,733.0,Giulia MARCHESONI,1.0,https://itra.run/RunnerSpace/MARCHESONI.Giulia/880395,,,,,736.0,
Matteo Paladin,724.0,Matteo PALADIN,1.0,https://utmb.world/runner/4029843.matteo.paladin,737.0,Matteo PALADIN,1.0,https://itra.run/RunnerSpace/PALADIN.Matteo/4442655,70.46,PALADIN MATTEO,1.0,https://www.betrail.run/runner/paladin.matteo/overview,729.2,
Cristian Camanini,712.0,Cristian CAMANINI,1.0,https://utmb.world/runner/2658587.cristian.camanini,746.0,Cristian CAMANINI,1.0,https://itra.run/RunnerSpace/CAMANINI.Cristian/2658587,74.15,CAMANINI CRISTIAN,1.0,https://www.betrail.run/runner/camanini.cristian/overview,725.6,
Marco Ferrari,719.0,Marco FERRARI,1.0,https://utmb.world/runner/6747215.marco.ferrari,725.0,Marco FERRARI,1.0,https://itra.run/RunnerSpace/FERRARI.Marco/6342424,,,,,721.4,
Luca Nardi,702.0,Luca NARDI,1.0,https://utmb.world/runner/4155382.luca.nardi,747.0,Luca NARDI,1.0,https://itra.run/RunnerSpace/NARDI.Luca/4477578,,,,,720.0,
Matteo Gonzo,698.0,Matteo GONZO,1.0,https://utmb.world/runner/2536885.matteo.gonzo,734.0,Matteo GONZO,1.0,https://itra.run/RunnerSpace/GONZO.Matteo/2536885,,,,,712.4000000000001,
Kevin Fantinato,689.0,Kevin FANTINATO,1.0,https://utmb.world/runner/5784954.kevin.fantinato,741.0,Kevin FANTINATO,1.0,https://itra.run/RunnerSpace/FANTINATO.Kevin/5269613,,,,,709.8,
Daniel Menegon,694.0,Daniel MENEGON,1.0,https://utmb.world/runner/445946.daniel.menegon,719.0,Daniel MENEGON,1.0,https://itra.run/RunnerSpace/MENEGON.Daniel/445946,,,,,704.0,
Davide Sommariva,681.0,Davide SOMMARIVA,1.0,https://utmb.world/runner/5145784.davide.sommariva,729.0,Davide SOMMARIVA,1.0,https://itra.run/RunnerSpace/SOMMARIVA.Davide/4554756,,,,,700.2,
Ivan Giordano,695.0,Ivan GIORDANO,1.0,https://utmb.world/runner/357176.ivan.giordano,706.0,Ivan GIORDANO,1.0,https://itra.run/RunnerSpace/GIORDANO.Ivan/357176,68.85,GIORDANO IVAN,1.0,https://www.betrail.run/runner/giordano.ivan/overview,699.4000000000001,
Paola Gelpi,677.0,Paola GELPI,1.0,https://utmb.world/runner/3505985.paola.gelpi,,,,,,,,,677.0,ITRA skipped because UTMB 677.0 <= threshold 680.0
Federica Zuccollo,665.0,Federica ZUCCOLLO,1.0,https://utmb.world/runner/1524373.federica.zuccollo,,,,,,,,,665.0,ITRA skipped because UTMB 665.0 <= threshold 680.0
Alberto Bianchin,661.0,Alberto BIANCHIN,1.0,https://utmb.world/runner/4219658.alberto.bianchin,,,,,,,,,661.0,ITRA skipped because UTMB 661.0 <= threshold 680.0
Daniele Fant,659.0,Daniele FANT,1.0,https://utmb.world/runner/296061.daniele.fant,,,,,,,,,659.0,ITRA skipped because UTMB 659.0 <= threshold 680.0
Michel Santagiuliana,659.0,Michel SANTAGIULIANA,1.0,https://utmb.world/runner/5701096.michel.santagiuliana,,,,,,,,,659.0,ITRA skipped because UTMB 659.0 <= threshold 680.0
FRANCESCO DE RIZ,652.0,Francesco DE RIZ,1.0,https://utmb.world/runner/624193.francesco.deriz,,,,,,,,,652.0,ITRA skipped because UTMB 652.0 <= threshold 680.0
Gianni Berlanda,648.0,Gianni BERLANDA,1.0,https://utmb.world/runner/2483763.gianni.berlanda,,,,,,,,,648.0,ITRA skipped because UTMB 648.0 <= threshold 680.0
Enrico De Marco,645.0,Enrico DE MARCO,1.0,https://utmb.world/runner/2114629.enrico.demarco,,,,,,,,,645.0,ITRA skipped because UTMB 645.0 <= threshold 680.0
Alessandro Chimenton,645.0,Alessandro CHIMENTON,1.0,https://utmb.world/runner/2009971.alessandro.chimenton,,,,,,,,,645.0,ITRA skipped because UTMB 645.0 <= threshold 680.0
FABIO AZZALIN,644.0,Fabio AZZALIN,1.0,https://utmb.world/runner/2009747.fabio.azzalin,,,,,,,,,644.0,ITRA skipped because UTMB 644.0 <= threshold 680.0
Gerhard Pittschieler,643.0,Gerhard PITTSCHIELER,1.0,https://utmb.world/runner/806406.gerhard.pittschieler,,,,,,,,,643.0,ITRA skipped because UTMB 643.0 <= threshold 680.0
Rodolfo Pais Bianco,641.0,Rodolfo PAIS BIANCO,1.0,https://utmb.world/runner/5558718.rodolfo.paisbianco,,,,,,,,,641.0,ITRA skipped because UTMB 641.0 <= threshold 680.0
Alan Pol,640.0,Alan POL,1.0,https://utmb.world/runner/6030746.alan.pol,,,,,,,,,640.0,ITRA skipped because UTMB 640.0 <= threshold 680.0
RUBEN BASSANI,635.0,Ruben BASSANI,1.0,https://utmb.world/runner/4155282.ruben.bassani,,,,,,,,,635.0,ITRA skipped because UTMB 635.0 <= threshold 680.0
Eros De Col,629.0,Eros DE COL,1.0,https://utmb.world/runner/5619347.eros.decol,,,,,,,,,629.0,ITRA skipped because UTMB 629.0 <= threshold 680.0
Stefano Marchesini,628.0,Stefano MARCHESINI,1.0,https://utmb.world/runner/4293596.stefano.marchesini,,,,,,,,,628.0,ITRA skipped because UTMB 628.0 <= threshold 680.0
Ivan Saburov,627.0,Ivan SABUROV,1.0,https://utmb.world/runner/3076667.ivan.saburov,,,,,,,,,627.0,ITRA skipped because UTMB 627.0 <= threshold 680.0
Denny Sponga,624.0,Denny SPONGA,1.0,https://utmb.world/runner/6030752.denny.sponga,,,,,,,,,624.0,ITRA skipped because UTMB 624.0 <= threshold 680.0
Nicola Tormen,624.0,Nicola TORMEN,1.0,https://utmb.world/runner/4764974.nicola.tormen,,,,,,,,,624.0,ITRA skipped because UTMB 624.0 <= threshold 680.0
Gianluca Confalonieri,624.0,Gianluca CONFALONIERI,1.0,https://utmb.world/runner/4137536.gianluca.confalonieri,,,,,,,,,624.0,ITRA skipped because UTMB 624.0 <= threshold 680.0
ALEX CIMOLIN,621.0,Alex CIMOLIN,1.0,https://utmb.world/runner/5571842.alex.cimolin,,,,,,,,,621.0,ITRA skipped because UTMB 621.0 <= threshold 680.0
Fabricio Tiago Guisso Tartarotti,615.0,Fabricio Tiago GUISSO TARTAROTTI,1.0,https://utmb.world/runner/3444525.fabriciotiago.guissotartarotti,,,,,,,,,615.0,ITRA skipped because UTMB 615.0 <= threshold 680.0
Giacomo Meneghini,615.0,Giacomo MENEGHINI,1.0,https://utmb.world/runner/5145804.giacomo.meneghini,,,,,,,,,615.0,ITRA skipped because UTMB 615.0 <= threshold 680.0
Stefano Veneran,614.0,Stefano VENERAN,1.0,https://utmb.world/runner/5263188.stefano.veneran,,,,,,,,,614.0,ITRA skipped because UTMB 614.0 <= threshold 680.0
Michael Bonsembiante,614.0,Michael BONSEMBIANTE,1.0,https://utmb.world/runner/973795.michael.bonsembiante,,,,,,,,,614.0,ITRA skipped because UTMB 614.0 <= threshold 680.0
Andrea Folchi,609.0,Andrea FOLCHI,1.0,https://utmb.world/runner/4293508.andrea.folchi,,,,,,,,,609.0,ITRA skipped because UTMB 609.0 <= threshold 680.0
Gabriela Camelia Gales,608.0,Gabriela Camelia GALES,1.0,https://utmb.world/runner/4768682.gabrielacamelia.gales,,,,,,,,,608.0,ITRA skipped because UTMB 608.0 <= threshold 680.0
Simone Bagatin,607.0,Simone BAGATIN,1.0,https://utmb.world/runner/5027818.simone.bagatin,,,,,,,,,607.0,ITRA skipped because UTMB 607.0 <= threshold 680.0
Michele Montalbano,606.0,Michele MONTALBANO,1.0,https://utmb.world/runner/4148050.michele.montalbano,,,,,,,,,606.0,ITRA skipped because UTMB 606.0 <= threshold 680.0
Marco Petris,603.0,Marco PETRIS,1.0,https://utmb.world/runner/6086180.marco.petris,,,,,,,,,603.0,ITRA skipped because UTMB 603.0 <= threshold 680.0
Gianluca Tomaselli,603.0,Gianluca TOMASELLI,1.0,https://utmb.world/runner/6723667.gianluca.tomaselli,,,,,,,,,603.0,ITRA skipped because UTMB 603.0 <= threshold 680.0
Nicola Orazio,602.0,Nicola ORAZIO,1.0,https://utmb.world/runner/4459350.nicola.orazio,,,,,,,,,602.0,ITRA skipped because UTMB 602.0 <= threshold 680.0
Luisa Gasparini,601.0,Luisa GASPARINI,1.0,https://utmb.world/runner/4375866.luisa.gasparini,,,,,,,,,601.0,ITRA skipped because UTMB 601.0 <= threshold 680.0
Nicholas Bonsembiante,601.0,Nicholas BONSEMBIANTE,1.0,https://utmb.world/runner/623408.nicholas.bonsembiante,,,,,,,,,601.0,ITRA skipped because UTMB 601.0 <= threshold 680.0
MASSIMO BARCO,596.0,Massimo BARCO,1.0,https://utmb.world/runner/7061730.massimo.barco,,,,,,,,,596.0,ITRA skipped because UTMB 596.0 <= threshold 680.0
Alex Pinamonti,596.0,Alex PINAMONTI,1.0,https://utmb.world/runner/525076.alex.pinamonti,,,,,,,,,596.0,ITRA skipped because UTMB 596.0 <= threshold 680.0
Luca Tonet,594.0,Luca TONET,1.0,https://utmb.world/runner/19310.luca.tonet,,,,,,,,,594.0,ITRA skipped because UTMB 594.0 <= threshold 680.0
Dario Peloso,594.0,Dario PELOSO,1.0,https://utmb.world/runner/4206364.dario.peloso,,,,,,,,,594.0,ITRA skipped because UTMB 594.0 <= threshold 680.0
Guido Rossettini,594.0,Guido ROSSETTINI,1.0,https://utmb.world/runner/1313073.guido.rossettini,,,,,,,,,594.0,ITRA skipped because UTMB 594.0 <= threshold 680.0
Michael Quirin Breitenberger,594.0,Michael Quirin BREITENBERGER,1.0,https://utmb.world/runner/4417948.michaelquirin.breitenberger,,,,,,,,,594.0,ITRA skipped because UTMB 594.0 <= threshold 680.0
Milena Pasin,593.0,Milena PASIN,1.0,https://utmb.world/runner/109449.milena.pasin,,,,,,,,,593.0,ITRA skipped because UTMB 593.0 <= threshold 680.0
Matteo Serena,592.0,Matteo SERENA,1.0,https://utmb.world/runner/8207228.matteo.serena,,,,,,,,,592.0,ITRA skipped because UTMB 592.0 <= threshold 680.0
Boris Da Ren,591.0,Boris DA REN,1.0,https://utmb.world/runner/810608.boris.daren,,,,,,,,,591.0,ITRA skipped because UTMB 591.0 <= threshold 680.0
Marco Biava,591.0,Marco BIAVA,1.0,https://utmb.world/runner/999005.marco.biava,,,,,,,,,591.0,ITRA skipped because UTMB 591.0 <= threshold 680.0
Andrea Bonino,591.0,Andrea BONINO,1.0,https://utmb.world/runner/5297498.andrea.bonino,,,,,,,,,591.0,ITRA skipped because UTMB 591.0 <= threshold 680.0
Mirko Lovisotto,588.0,Mirko LOVISOTTO,1.0,https://utmb.world/runner/525486.mirko.lovisotto,,,,,,,,,588.0,ITRA skipped because UTMB 588.0 <= threshold 680.0
Roberto Tavana,588.0,Roberto TAVANA,1.0,https://utmb.world/runner/308597.roberto.tavana,,,,,,,,,588.0,ITRA skipped because UTMB 588.0 <= threshold 680.0
Damiano Bordignon,587.0,Damiano BORDIGNON,1.0,https://utmb.world/runner/4130690.damiano.bordignon,,,,,,,,,587.0,ITRA skipped because UTMB 587.0 <= threshold 680.0
Alberto Dal Sasso,586.0,Alberto DAL SASSO,1.0,https://utmb.world/runner/5701110.alberto.dalsasso,,,,,,,,,586.0,ITRA skipped because UTMB 586.0 <= threshold 680.0
Matteo Crespan,585.0,Matteo CRESPAN,1.0,https://utmb.world/runner/5451886.matteo.crespan,,,,,,,,,585.0,ITRA skipped because UTMB 585.0 <= threshold 680.0
Mariangela Curini,585.0,Mariangela CURINI,1.0,https://utmb.world/runner/445936.mariangela.curini,,,,,,,,,585.0,ITRA skipped because UTMB 585.0 <= threshold 680.0
Laura Mariani,585.0,Laura MARIANI,1.0,https://utmb.world/runner/4150752.laura.mariani,,,,,,,,,585.0,ITRA skipped because UTMB 585.0 <= threshold 680.0
Andrea Comparin,583.0,Andrea COMPARIN,1.0,https://utmb.world/runner/5297504.andrea.comparin,,,,,,,,,583.0,ITRA skipped because UTMB 583.0 <= threshold 680.0
Valentino Perotto,582.0,Valentino PEROTTO,1.0,https://utmb.world/runner/5145924.valentino.perotto,,,,,,,,,582.0,ITRA skipped because UTMB 582.0 <= threshold 680.0
