input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
GIONATA COGLIATI,858.0,Gionata COGLIATI,1.0,https://utmb.world/runner/4228542.gionata.cogliati,896.0,Gionata COGLIATI,1.0,https://itra.run/RunnerSpace/COGLIATI.Gionata/4403105,83.89,COGLIATI GIONATA,1.0,https://www.betrail.run/runner/cogliati.gionata/overview,873.2,
MICHELE MERIDIO,846.0,Michele MERIDIO,1.0,https://utmb.world/runner/1524379.michele.meridio,882.0,Michele MERIDIO,1.0,https://itra.run/RunnerSpace/MERIDIO.Michele/4163264,82.85,MERIDIO MICHELE,0.95,https://www.betrail.run/runner/meridio.michele/overview,860.4,ITRA stale score repo fallback used
SIMONE VIGOLO,800.0,Simone VIGOLO,1.0,https://utmb.world/runner/2230221.simone.vigolo,833.0,Simone VIGOLO,1.0,https://itra.run/RunnerSpace/VIGOLO.Simone/2230221,79.67,VIGOLO SIMONE,1.0,https://www.betrail.run/runner/vigolo.simone/overview,813.2,
DAVIDE RIVERO,793.0,Davide RIVERO,1.0,https://utmb.world/runner/4171771.davide.rivero,843.0,Davide RIVERO,1.0,https://itra.run/RunnerSpace/RIVERO.Davide/4610110,81.54,RIVERO DAVIDE,1.0,https://www.betrail.run/runner/rivero.davide/overview,813.0,
BENEDIKT RITTER,806.0,Benedikt RITTER,1.0,https://utmb.world/runner/6111228.benedikt.ritter,799.0,Benedikt RITTER,1.0,https://itra.run/RunnerSpace/RITTER.Benedikt/4925189,78.82,RITTER BENEDIKT,1.0,https://www.betrail.run/runner/ritter.benedikt/overview,803.2,
GIACOMO BERNARDI,763.0,Giacomo BERNARDI,1.0,https://utmb.world/runner/4152066.giacomo.bernardi,799.0,Giacomo BERNARDI,1.0,https://itra.run/RunnerSpace/BERNARDI.Giacomo/4152066,68.54,BERNARDI GIACOMO,1.0,https://www.betrail.run/runner/bernardi.giacomo/overview,777.4000000000001,
SIMON MICHEL BERGE,777.0,Simon MICHEL-BERGER,0.8810810810810811,https://utmb.world/runner/3143463.simon.michelberger,,,,,,,,,777.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
DANILO PERUCH,740.0,Danilo PERUCH,1.0,https://utmb.world/runner/2658861.danilo.peruch,800.0,Danilo PERUCH,1.0,https://itra.run/RunnerSpace/PERUCH.Danilo/2658861,71.12,PERUCH DANILO,0.95,https://www.betrail.run/runner/peruch.danilo/overview,764.0,
MIRKO MARCHI,760.0,Mirko MARCHI,1.0,https://utmb.world/runner/4008935.mirko.marchi,,,,,74.75,MARCHI MIRKO,1.0,https://www.betrail.run/runner/marchi.mirko/overview,760.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
MARCO FERRARI,751.0,Marco FERRARI,1.0,https://utmb.world/runner/6747215.marco.ferrari,,,,,,,,,751.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
MASSIMO DELLI ZOTTI,730.0,Massimo DELLI-ZOTTI,1.0,https://utmb.world/runner/639545.massimo.dellizotti,778.0,Massimo DELLI ZOTTI,1.0,https://itra.run/RunnerSpace/DELLI ZOTTI.Massimo/639545,71.94,DELLI ZOTTI MASSIMO,0.95,https://www.betrail.run/runner/delli.zotti.massimo/overview,749.2,
SERGE LATTION,723.0,Serge LATTION,1.0,https://utmb.world/runner/20155.serge.lattion,761.0,Serge LATTION,1.0,https://itra.run/RunnerSpace/LATTION.Serge/20155,71.51,LATTION SERGE,1.0,https://www.betrail.run/runner/lattion.serge/overview,738.2,
ANTONY PELLEGRINI,712.0,Antony PELLEGRINI,1.0,https://utmb.world/runner/4170303.antony.pellegrini,773.0,Antony PELLEGRINI,1.0,https://itra.run/RunnerSpace/PELLEGRINI.Antony/4203378,68.43,PELLEGRINI ANTONY,1.0,https://www.betrail.run/runner/pellegrini.antony/overview,736.4000000000001,
REMI LE BRECH,722.0,Rémi LE BRECH,1.0,https://utmb.world/runner/2961253.remi.lebrech,745.0,Rémi LE BRECH,1.0,https://itra.run/RunnerSpace/LE BRECH.Rémi/2961253,69.5,LE BRECH RéMI,0.95,https://www.betrail.run/runner/le.brech.remi/overview,731.2,
MATTEO PALADIN,724.0,Matteo PALADIN,1.0,https://utmb.world/runner/4029843.matteo.paladin,737.0,Matteo PALADIN,1.0,https://itra.run/RunnerSpace/PALADIN.Matteo/4442655,70.47,PALADIN MATTEO,0.95,https://www.betrail.run/runner/paladin.matteo/overview,729.2,
AINARS BRALITIS,713.0,Ainars BRALITIS,1.0,https://utmb.world/runner/506079.ainars.bralitis,739.0,Ainars BRALITIS,1.0,https://itra.run/RunnerSpace/BRALITIS.Ainars/506079,,,,,723.4000000000001,
CARLO PISANO,696.0,Carlo PISANO,1.0,https://utmb.world/runner/5206426.carlo.pisano,727.0,Carlo PISANO,1.0,https://itra.run/RunnerSpace/PISANO.Carlo/4866088,67.77,PISANO CARLO,1.0,https://www.betrail.run/runner/pisano.carlo/overview,708.4,
ERIK CANTI,671.0,Erik CANTI,1.0,https://utmb.world/runner/6201214.erik.canti,703.0,Erik CANTI,1.0,https://itra.run/RunnerSpace/CANTI.Erik/5629443,,,,,683.8,ITRA stale score repo fallback used
STEFANO CASON,662.0,Stefano CASON,1.0,https://utmb.world/runner/1852819.stefano.cason,690.0,Stefano CASON,1.0,https://itra.run/RunnerSpace/CASON.Stefano/1852819,,,,,673.2,ITRA stale score repo fallback used
LUCA DOMENEGHETTI,673.0,Luca DOMENEGHETTI,1.0,https://utmb.world/runner/468247.luca.domeneghetti,,,,,,,,,673.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
EDOARDO LOMBARDI,668.0,Edoardo LOMBARDI,1.0,https://utmb.world/runner/6035912.edoardo.lombardi,,,,,,,,,668.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
ALESSIO BORDIGNON,661.0,Alessio BORDIGNON,1.0,https://utmb.world/runner/624202.alessio.bordignon,677.0,Alessio BORDIGNON,1.0,https://itra.run/RunnerSpace/BORDIGNON.Alessio/624202,,,,,667.4,ITRA stale score repo fallback used
DAVIDE DAN,661.0,Davide DAN,1.0,https://utmb.world/runner/109454.davide.dan,672.0,Davide DAN,1.0,https://itra.run/RunnerSpace/DAN.Davide/109454,,,,,665.4,ITRA stale score repo fallback used
ALAN POL,661.0,Alan POL,1.0,https://utmb.world/runner/6030746.alan.pol,,,,,,,,,661.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
CRISTIAN CONTE,657.0,Cristian CONTE,1.0,https://utmb.world/runner/7644884.cristian.conte,665.0,Cristian CONTE,1.0,https://itra.run/RunnerSpace/CONTE.Cristian/6692685,,,,,660.2,ITRA stale score repo fallback used
FRANCESCO BETTINI,654.0,Francesco BETTINI,1.0,https://utmb.world/runner/1838885.francesco.bettini,666.0,Francesco BETTINI,1.0,https://itra.run/RunnerSpace/BETTINI.Francesco/1838885,,,,,658.8,ITRA stale score repo fallback used
MATEUSZ ZIELIŃSKI,658.0,Mateusz ZIELINSKI,1.0,https://utmb.world/runner/4213545.mateusz.zielinski,,,,,,,,,658.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
JULIEN BERNARD,657.0,Julien BERNARD,1.0,https://utmb.world/runner/4560888.julien.bernard,,,,,,,,,657.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
FABIO AZZALIN,647.0,Fabio AZZALIN,1.0,https://utmb.world/runner/2009747.fabio.azzalin,669.0,Fabio AZZALIN,1.0,https://itra.run/RunnerSpace/AZZALIN.Fabio/2009747,,,,,655.8,ITRA stale score repo fallback used
DAVIDE BONNOT,655.0,Davide BONNOT,1.0,https://utmb.world/runner/5007898.davide.bonnot,,,,,,,,,655.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
SANDER DE LEEUW,644.0,Sander M DE LEEUW,0.95625,https://utmb.world/runner/2513219.sanderm.deleeuw,,,,,,,,,644.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
PAOLO CERUTTI,639.0,Paolo CERUTTI,1.0,https://utmb.world/runner/551564.paolo.cerutti,,,,,,,,,639.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
JULIEN DALBAN-PILON,624.0,Julien DALBAN-PILON,1.0,https://utmb.world/runner/4489532.julien.dalbanpilon,658.0,Julien DALBAN PILON,1.0,https://itra.run/RunnerSpace/DALBAN PILON.Julien/4457633,,,,,637.5999999999999,
RAFFAELE CONZATO,,,,,636.0,Raffaele CONZATO,1.0,https://itra.run/RunnerSpace/CONZATO.Raffaele/6474452,,,,,636.0,UTMB not found
FRANCESCO PARODI,635.0,Francesco PARODI,1.0,https://utmb.world/runner/4817818.francesco.parodi,,,,,,,,,635.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
VINCENZO CALVANICO,622.0,Vincenzo CALVANICO,1.0,https://utmb.world/runner/4003773.vincenzo.calvanico,651.0,Vincenzo CALVANICO,1.0,https://itra.run/RunnerSpace/CALVANICO.Vincenzo/4003773,,,,,633.6,ITRA stale score repo fallback used
WILLIAM KRÜGEL,632.0,William KRÜGEL,1.0,https://utmb.world/runner/7448782.william.krugel,,,,,,,,,632.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
GIANCARLO BASCHERA,652.0,Giancarlo BASCHERA,1.0,https://utmb.world/runner/1225585.giancarlo.baschera,601.0,Giancarlo BASCHERA,1.0,https://itra.run/RunnerSpace/BASCHERA.Giancarlo/1225585,,,,,631.6,
DARIO PELOSO,635.0,Dario PELOSO,1.0,https://utmb.world/runner/4206364.dario.peloso,625.0,Dario PELOSO,1.0,https://itra.run/RunnerSpace/PELOSO.Dario/4157635,,,,,631.0,ITRA stale score repo fallback used
IVAN CAO,608.0,Ivan CAO,1.0,https://utmb.world/runner/20986.ivan.cao,660.0,Ivan CAO,1.0,https://itra.run/RunnerSpace/CAO.Ivan/20986,,,,,628.8,ITRA stale score repo fallback used
CHRISTIAN PRETTO,627.0,Christian PRETTO,1.0,https://utmb.world/runner/4677986.christian.pretto,,,,,,,,,627.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
MAHULIENA ĎURECOVÁ,622.0,Mahuliena DURECOVA,1.0,https://utmb.world/runner/5201918.mahuliena.durecova,632.0,Mahuliena DURECOVA,1.0,https://itra.run/RunnerSpace/DURECOVA.Mahuliena/4877579,,,,,626.0,ITRA stale score repo fallback used
DAAN HEUNGENS,624.0,Daan HEUNGENS,1.0,https://utmb.world/runner/5110174.daan.heungens,,,,,,,,,624.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
NICOLA TORMEN,623.0,Nicola TORMEN,1.0,https://utmb.world/runner/4764974.nicola.tormen,,,,,,,,,623.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
GIULIA JEDREJCIC,621.0,Giulia JEDREJCIC,1.0,https://utmb.world/runner/4316285.giulia.jedrejcic,,,,,,,,,621.0,ITRA unavailable: Could not obtain ITRA CSRF token.
FERDINANDO GASPARINI,621.0,Ferdinando GASPARINI,1.0,https://utmb.world/runner/4741184.ferdinando.gasparini,,,,,,,,,621.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
PATRICK DEPAEPE,616.0,Patrick DEPAEPE,1.0,https://utmb.world/runner/519632.patrick.depaepe,,,,,,,,,616.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
