input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
Olson Caleb,922.0,Caleb OLSON,0.6181818181818182,https://utmb.world/runner/2574519.caleb.olson,939.0,Caleb OLSON,0.6181818181818182,https://itra.run/RunnerSpace/OLSON.Caleb/2574519,95.5,OLSON CALEB,1.0,https://www.betrail.run/runner/olson.caleb/overview,928.8,
Mogavero Jeff,904.0,Jeff MOGAVERO,0.7307692307692308,https://utmb.world/runner/483224.jeff.mogavero,912.0,Jeff MOGAVERO,0.7307692307692308,https://itra.run/RunnerSpace/MOGAVERO.Jeff/483224,91.36,MOGAVERO JEFF,1.0,https://www.betrail.run/runner/mogavero.jeff/overview,907.2,
Tschumi Jean - Philippe,899.0,Jean-Philippe TSCHUMI,0.7333333333333334,https://utmb.world/runner/970923.jeanphilippe.tschumi,903.0,Jean Philippe TSCHUMI,0.7333333333333334,https://itra.run/RunnerSpace/TSCHUMI.Jean Philippe/970923,94.58,TSCHUMI JEAN-PHILIPPE,1.0,https://www.betrail.run/runner/tschumi.jean.philippe/overview,900.6,
GARRIVIER Thibaut,888.0,Thibaut GARRIVIER,0.6705882352941176,https://utmb.world/runner/154454.thibaut.garrivier,900.0,Thibaut GARRIVIER,0.6705882352941176,https://itra.run/RunnerSpace/GARRIVIER.Thibaut/154454,90.54,GARRIVIER THIBAUT,1.0,https://www.betrail.run/runner/garrivier.thibaut/overview,892.8,
AIRIAU Gautier,872.0,Gautier AIRIAU,0.6499999999999999,https://utmb.world/runner/448706.gautier.airiau,896.0,Gautier AIRIAU,0.6499999999999999,https://itra.run/RunnerSpace/AIRIAU.Gautier/448706,91.05,AIRIAU GAUTIER,1.0,https://www.betrail.run/runner/airiau.gautier/overview,881.5999999999999,
Murray Will,864.0,Will MURRAY,0.6818181818181818,https://utmb.world/runner/3270727.will.murray,902.0,Will MURRAY,0.6818181818181818,https://itra.run/RunnerSpace/MURRAY.Will/6156279,86.7,MURRAY WILL,1.0,https://www.betrail.run/runner/murray.will/overview,879.2,
Esmiol Vincent,868.0,Vincent ESMIOL,0.6499999999999999,https://utmb.world/runner/2621345.vincent.esmiol,883.0,Vincent ESMIOL,0.6499999999999999,https://itra.run/RunnerSpace/ESMIOL.Vincent/2621345,88.38,ESMIOL VINCENT,1.0,https://www.betrail.run/runner/esmiol.vincent/overview,874.0,
Bernades Marc,871.0,Marc BERNADES OLLE,0.7064516129032258,https://utmb.world/runner/352073.marc.bernadesolle,,Bernades Marc OLLE,0.8870967741935483,https://itra.run/RunnerSpace/OLLE.Bernades Marc/5860413,86.23,OLLÉ BERNADES Marc,0.8870967741935483,https://www.betrail.run/runner/olle.bernades.marc/overview,871.0,ITRA score missing in response; Betrail catalog fuzzy match; Betrail catalog fuzzy match
ROGAUME Léo,861.0,Leo ROGAUME,0.7454545454545454,https://utmb.world/runner/338480.leo.rogaume,881.0,Leo ROGAUME,0.7454545454545454,https://itra.run/RunnerSpace/ROGAUME.Leo/338480,90.31,ROGAUME LéO,1.0,https://www.betrail.run/runner/rogaume.leo/overview,869.0,
Baggenstos Tobias,855.0,Tobias BAGGENSTOS,0.7117647058823529,https://utmb.world/runner/3964257.tobias.baggenstos,878.0,Tobias BAGGENSTOS,0.7117647058823529,https://itra.run/RunnerSpace/BAGGENSTOS.Tobias/3964257,85.66,BAGGENSTOS TOBIAS,1.0,https://www.betrail.run/runner/baggenstos.tobias/overview,864.2,
