input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
MARCO DE SALVADOR,808.0,Marco DE SALVADOR,1.0,https://utmb.world/runner/109136.marco.desalvador,828.0,Marco DE SALVADOR,1.0,https://itra.run/RunnerSpace/DE SALVADOR.Marco/109136,76.04,DE SALVADOR Marco,0.95,https://www.betrail.run/runner/de.salvador.marco/overview,816.0,
MARCO ZANONER,798.0,Marco ZANONER,1.0,https://utmb.world/runner/3337035.marco.zanoner,839.0,Marco ZANONER,1.0,https://itra.run/RunnerSpace/ZANONER.Marco/3337035,75.24,ZANONER MARCO,0.95,https://www.betrail.run/runner/zanoner.marco/overview,814.4,
MARCO BELLINI,771.0,Marco BELLINI,1.0,https://utmb.world/runner/4465716.marco.bellini,821.0,Marco BELLINI,1.0,https://itra.run/RunnerSpace/BELLINI.Marco/4440892,76.25,BELLINI MARCO,0.95,https://www.betrail.run/runner/bellini.marco/overview,791.0,
ALBERTO FRESCHI,766.0,Alberto FRESCHI,1.0,https://utmb.world/runner/4249785.alberto.freschi,807.0,Alberto FRESCHI,1.0,https://itra.run/RunnerSpace/FRESCHI.Alberto/4286529,,,,,782.4,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
RÉMY VALENTI,759.0,Rémy VALENTI,1.0,https://utmb.world/runner/4200273.remy.valenti,776.0,Remy VALENTI,1.0,https://itra.run/RunnerSpace/VALENTI.Remy/4208606,74.81,VALENTI REMY,0.95,https://www.betrail.run/runner/valenti.remy/overview,765.8,
Danilo Peruch,740.0,Danilo PERUCH,1.0,https://utmb.world/runner/2658861.danilo.peruch,800.0,Danilo PERUCH,1.0,https://itra.run/RunnerSpace/PERUCH.Danilo/2658861,71.12,PERUCH DANILO,0.95,https://www.betrail.run/runner/peruch.danilo/overview,764.0,
THOMAS CORADAZZI,754.0,Thomas CORADAZZI,1.0,https://utmb.world/runner/6686422.thomas.coradazzi,756.0,Thomas CORADAZZI,1.0,https://itra.run/RunnerSpace/CORADAZZI.Thomas/5957108,69.37,CORADAZZI THOMAS,0.95,https://www.betrail.run/runner/coradazzi.thomas/overview,754.8,
MARCO NUTI,738.0,Marco NUTI,1.0,https://utmb.world/runner/1923489.marco.nuti,767.0,Marco NUTI,1.0,https://itra.run/RunnerSpace/NUTI.Marco/1923489,,,,,749.6,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
FRANCESCO MAZZOLA,755.0,Francesco MAZZOLA,1.0,https://utmb.world/runner/4316292.francesco.mazzola,739.0,Francesco MAZZOLA,1.0,https://itra.run/RunnerSpace/MAZZOLA.Francesco/4349953,68.5,MAZZOLA FRANCESCO,0.95,https://www.betrail.run/runner/mazzola.francesco/overview,748.6,
ION COBAN,729.0,Ion COBAN,1.0,https://utmb.world/runner/4833268.ion.coban,759.0,Ion COBAN,1.0,https://itra.run/RunnerSpace/COBAN.Ion/4658966,,,,,741.0,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MARCO FERRARI,751.0,Marco FERRARI,1.0,https://utmb.world/runner/6747215.marco.ferrari,725.0,Marco FERRARI,1.0,https://itra.run/RunnerSpace/FERRARI.Marco/6342424,,,,,740.5999999999999,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MATTEO PALADIN,724.0,Matteo PALADIN,1.0,https://utmb.world/runner/4029843.matteo.paladin,737.0,Matteo PALADIN,1.0,https://itra.run/RunnerSpace/PALADIN.Matteo/4442655,70.47,PALADIN MATTEO,0.95,https://www.betrail.run/runner/paladin.matteo/overview,729.2,
MARKUS PANNIER,729.0,Markus PANNIER,1.0,https://utmb.world/runner/5522860.markus.pannier,722.0,Markus PANNIER,1.0,https://itra.run/RunnerSpace/PANNIER.Markus/5095214,,,,,726.2,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
ALBERTO PEROBELLO,697.0,Alberto PEROBELLO,1.0,https://utmb.world/runner/7179328.alberto.perobello,766.0,Alberto PEROBELLO,1.0,https://itra.run/RunnerSpace/PEROBELLO.Alberto/5932796,,,,,724.6,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MATTEO GONZO,709.0,Matteo GONZO,1.0,https://utmb.world/runner/2536885.matteo.gonzo,746.0,Matteo GONZO,1.0,https://itra.run/RunnerSpace/GONZO.Matteo/2536885,,,,,723.8,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
ANDREA MENEGATTI,713.0,Andrea MENEGATTI,1.0,https://utmb.world/runner/4206348.andrea.menegatti,734.0,Andrea MENEGATTI,1.0,https://itra.run/RunnerSpace/MENEGATTI.Andrea/4176300,,,,,721.4000000000001,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
ANDREA DELLA ROVERE,707.0,Andrea DELLA ROVERE,1.0,https://utmb.world/runner/988261.andrea.dellarovere,706.0,Andrea DELLA ROVERE,1.0,https://itra.run/RunnerSpace/DELLA ROVERE.Andrea/988261,,,,,706.6,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
DEVID CHIARETTO,689.0,Devid CHIARETTO,1.0,https://utmb.world/runner/1576119.devid.chiaretto,730.0,Devid CHIARETTO,1.0,https://itra.run/RunnerSpace/CHIARETTO.Devid/1576119,,,,,705.4,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
