input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
MIGNANO Marco,764.0,Marco MIGNANO,0.6769230769230768,https://utmb.world/runner/4475678.marco.mignano,,,,,73.77,MIGNANO MARCO,1.0,https://www.betrail.run/runner/mignano.marco/overview,764.0,ITRA unavailable: Could not obtain ITRA CSRF token.
CHRISTIN-BENOIT Julien,705.0,Julien CHRISTIN-BENOIT,0.7772727272727271,https://utmb.world/runner/626238.julien.christinbenoit,,,,,69.66,CHRISTIN-BENOIT JULIEN,1.0,https://www.betrail.run/runner/christin-benoit.julien/overview,705.0,ITRA unavailable: Could not obtain ITRA CSRF token.
WANG Xiaolin,682.0,Xiaolin WANG,0.7083333333333333,https://utmb.world/runner/1731685.xiaolin.wang,,,,,,,,,682.0,ITRA unavailable: Could not obtain ITRA CSRF token.
SANTIN Lorenzo Franco,672.0,Lorenzo Franco SANTIN,0.7666666666666666,https://utmb.world/runner/5571908.lorenzofranco.santin,,,,,,,,,672.0,ITRA unavailable: Could not obtain ITRA CSRF token.
LUCCIONI Laurent,657.0,Laurent LUCCIONI,0.6499999999999999,https://utmb.world/runner/423006.laurent.luccioni,,,,,,,,,657.0,ITRA unavailable: Could not obtain ITRA CSRF token.
GERVAIX François,656.0,François GERVAIX,0.6499999999999999,https://utmb.world/runner/100042.francois.gervaix,,,,,,,,,656.0,ITRA unavailable: Could not obtain ITRA CSRF token.
BUNJUAR Supat,653.0,Supat BUNJUAR,0.6769230769230768,https://utmb.world/runner/766173.supat.bunjuar,,,,,,,,,653.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
THÉVOZ Florian,644.0,Florian THEVOZ,0.6499999999999999,https://utmb.world/runner/19879.florian.thevoz,,,,,,,,,644.0,ITRA unavailable: Could not obtain ITRA CSRF token.
POLLA Aristide,643.0,Aristide Thomas POLLA,0.6199999999999999,https://utmb.world/runner/4465698.aristidethomas.polla,,,,,,,,,643.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
ZIMMERMANN Denise,642.0,Denise ZIMMERMANN,0.7117647058823529,https://utmb.world/runner/12641.denise.zimmermann,,,,,,,,,642.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
BODNAR Dariia,635.0,Dariia BODNAR,0.6230769230769231,https://utmb.world/runner/1337161.dariia.bodnar,,,,,,,,,635.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
LECLERQ Mickaël,634.0,Mickael LECLERQ,0.6266666666666667,https://utmb.world/runner/584244.mickael.leclerq,,,,,,,,,634.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
