input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
Franco Collé,804.0,Franco COLLE,1.0,https://utmb.world/runner/117616.franco.colle,,,,,81.64,COLLE FRANCO,1.0,https://www.betrail.run/runner/colle.franco/overview,804.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Jarek Gonczarenko,754.0,Jarek GONCZARENKO,1.0,https://utmb.world/runner/727496.jarek.gonczarenko,,,,,71.35,GONCZARENKO JAREK,1.0,https://www.betrail.run/runner/gonczarenko.jarek/overview,754.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Alessandro Roncato,751.0,Alessandro RONCATO,1.0,https://utmb.world/runner/209089.alessandro.roncato,,,,,77.53,RONCATO Alessandro,1.0,https://www.betrail.run/runner/roncato.alessandro/overview,751.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Peter Kienzl,748.0,Peter KIENZL,1.0,https://utmb.world/runner/322973.peter.kienzl,,,,,75.73,KIENZL PETER,1.0,https://www.betrail.run/runner/kienzl.peter/overview,748.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Lorenzo Zani,724.0,Lorenzo ZANI,1.0,https://utmb.world/runner/4316315.lorenzo.zani,,,,,,,,,724.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
Raphael Bicelli,710.0,Raphael BICELLI,1.0,https://utmb.world/runner/506449.raphael.bicelli,,,,,,,,,710.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
Emmanuel Gourbesville,705.0,Emmanuel GOURBESVILLE,1.0,https://utmb.world/runner/2661523.emmanuel.gourbesville,,,,,,,,,705.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
Annie Hughes,704.0,Annie HUGHES,1.0,https://utmb.world/runner/2611027.annie.hughes,,,,,,,,,704.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
Barthélémy PONCHON,689.0,Barthélémy PONCHON,1.0,https://utmb.world/runner/108864.barthelemy.ponchon,,,,,68.04,PONCHON BARTHéLéMY,1.0,https://www.betrail.run/runner/ponchon.barthelemy/overview,689.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Steeven blanc,686.0,Steeven BLANC,1.0,https://utmb.world/runner/496267.steeven.blanc,,,,,,,,,686.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
EMANUELE LUDOVISI,685.0,Emanuele LUDOVISI,1.0,https://utmb.world/runner/366168.emanuele.ludovisi,,,,,66.24,LUDOVISI EMANUELE,1.0,https://www.betrail.run/runner/ludovisi.emanuele/overview,685.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Brian Mullins,684.0,Brian MULLINS,1.0,https://utmb.world/runner/132324.brian.mullins,,,,,71.94,MULLINS BRIAN,1.0,https://www.betrail.run/runner/mullins.brian/overview,684.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Enrico Alfisi,681.0,Enrico ALFISI,1.0,https://utmb.world/runner/1738783.enrico.alfisi,,,,,66.12,ALFISI ENRICO,1.0,https://www.betrail.run/runner/alfisi.enrico/overview,681.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Lars Mirbach,681.0,Lars MIRBACH,1.0,https://utmb.world/runner/838848.lars.mirbach,,,,,70.62,MIRBACH LARS,1.0,https://www.betrail.run/runner/mirbach.lars/overview,681.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Shashwat Rao,679.0,Shashwat RAO,1.0,https://utmb.world/runner/856326.shashwat.rao,,,,,67.36,RAO SHASHWAT,1.0,https://www.betrail.run/runner/rao.shashwat/overview,679.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
RYOJI MATSUI,678.0,Ryoji MATSUI,1.0,https://utmb.world/runner/32161.ryoji.matsui,,,,,,,,,678.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
Pavol Porubcan,677.0,Pavol PORUBCAN,1.0,https://utmb.world/runner/806189.pavol.porubcan,,,,,,,,,677.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
Albert vilardell graells,666.0,Albert VILARDELL GRAELLS,1.0,https://utmb.world/runner/476698.albert.vilardellgraells,,,,,,,,,666.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
KAITLIN ALLEN,666.0,Kaitlin ALLEN,1.0,https://utmb.world/runner/4206395.kaitlin.allen,,,,,67.09,ALLEN KAITLIN,1.0,https://www.betrail.run/runner/allen.kaitlin/overview,666.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
François Devaux,666.0,Francois DEVAUX,1.0,https://utmb.world/runner/448728.francois.devaux,,,,,,,,,666.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
Dapeng Ren,664.0,Dapeng REN,1.0,https://utmb.world/runner/689442.dapeng.ren,,,,,,,,,664.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
Luuk Van der Jagt,663.0,Luuk VAN DER JAGT,1.0,https://utmb.world/runner/3078167.luuk.vanderjagt,,,,,,,,,663.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
Adrian Hüttl,663.0,Adrian HÜTTL,1.0,https://utmb.world/runner/1537817.adrian.huttl,,,,,,,,,663.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
Elia Frittoli,660.0,Elia FRITTOLI,1.0,https://utmb.world/runner/4982176.elia.frittoli,,,,,,,,,660.0,"ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures); Betrail catalog unavailable: HTTPSConnectionPool(host='www.betrail.run', port=443): Read timed out. (read timeout=15)"
