input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
Lucien mermillon,884.0,Lucien MERMILLON,1.0,https://utmb.world/runner/4447384.lucien.mermillon,893.0,Lucien MERMILLON,1.0,https://itra.run/RunnerSpace/MERMILLON.Lucien/4490876,90.72,MERMILLON LUCIEN,1.0,https://www.betrail.run/runner/mermillon.lucien/overview,887.6,
charly guerin,786.0,Charly GUERIN,1.0,https://utmb.world/runner/875325.charly.guerin,842.0,Charly GUERIN,1.0,https://itra.run/RunnerSpace/GUERIN.Charly/875325,76.19,GUERIN CHARLY,1.0,https://www.betrail.run/runner/guerin.charly/overview,808.4,
Nicolas FIRMIN,787.0,Nicolas FIRMIN,1.0,https://utmb.world/runner/529052.nicolas.firmin,754.0,Nicolas FIRMIN,1.0,https://itra.run/RunnerSpace/FIRMIN.Nicolas/529052,74.33,FIRMIN NICOLAS,1.0,https://www.betrail.run/runner/firmin.nicolas.0/overview,773.8,
Alexis GRAND,746.0,Alexis GRAND,1.0,https://utmb.world/runner/629165.alexis.grand,785.0,Alexis GRAND,1.0,https://itra.run/RunnerSpace/GRAND.Alexis/629165,71.42,GRAND ALEXIS,1.0,https://www.betrail.run/runner/grand.alexis.2/overview,761.5999999999999,
Marin Giraud-Charreyron,737.0,Marin GIRAUD-CHARREYRON,1.0,https://utmb.world/runner/1962159.marin.giraudcharreyron,767.0,Marin GIRAUD CHARREYRON,1.0,https://itra.run/RunnerSpace/GIRAUD CHARREYRON.Marin/1962159,69.25,GIRAUD-CHARREYRON Marin,1.0,https://www.betrail.run/runner/giraud-charreyron.marin/overview,749.0,
Sébastien Treffort,724.0,Sébastien TREFFORT,1.0,https://utmb.world/runner/4771886.sebastien.treffort,767.0,Sébastien TREFFORT,1.0,https://itra.run/RunnerSpace/TREFFORT.Sébastien/4626937,68.78,TREFFORT SéBASTIEN,1.0,https://www.betrail.run/runner/treffort.sebastien/overview,741.2,
Cédric Mermet,720.0,Cédric MERMET,1.0,https://utmb.world/runner/473793.cedric.mermet,772.0,Cedric MERMET,1.0,https://itra.run/RunnerSpace/MERMET.Cedric/473793,68.06,MERMET CEDRIC,1.0,https://www.betrail.run/runner/mermet.cedric/overview,740.8,
Thomas Dubost,698.0,Thomas DUBOST,1.0,https://utmb.world/runner/4292744.thomas.dubost,767.0,Thomas DUBOST,1.0,https://itra.run/RunnerSpace/DUBOST.Thomas/4304180,71.32,DUBOST THOMAS,1.0,https://www.betrail.run/runner/dubost.thomas.2/overview,725.6,
Matthieu Laffitte,710.0,Matthieu LAFFITTE,1.0,https://utmb.world/runner/5196955.matthieu.laffitte,747.0,Matthieu LAFFITTE,1.0,https://itra.run/RunnerSpace/LAFFITTE.Matthieu/650327,69.4,LAFFITTE MATTHIEU,1.0,https://www.betrail.run/runner/laffitte.matthieu/overview,724.8,
Lucie JAMSIN,693.0,Lucie JAMSIN,1.0,https://utmb.world/runner/538272.lucie.jamsin,699.0,Lucie JAMSIN,1.0,https://itra.run/RunnerSpace/JAMSIN.Lucie/538272,,,,,695.4000000000001,
Mika Urbauer,685.0,Mika URBAUER,1.0,https://utmb.world/runner/5112346.mika.urbauer,696.0,Mika URBAUER,1.0,https://itra.run/RunnerSpace/URBAUER.Mika/4830609,,,,,689.4000000000001,
José manuel MARTINEZ,680.0,Jose Manuel MARTINEZ,1.0,https://utmb.world/runner/3417221.josemanuel.martinez,,,,,,,,,680.0,ITRA skipped because UTMB 680.0 <= threshold 680.0
Alban Dequeudre,667.0,Alban DEQUEUDRE,1.0,https://utmb.world/runner/295668.alban.dequeudre,,,,,,,,,667.0,ITRA skipped because UTMB 667.0 <= threshold 680.0
Etienne LEROY,665.0,Etienne LEROY,1.0,https://utmb.world/runner/4268751.etienne.leroy,,,,,,,,,665.0,ITRA skipped because UTMB 665.0 <= threshold 680.0
Mattéo Gouet,663.0,Mattéo GOUET,1.0,https://utmb.world/runner/4227789.matteo.gouet,,,,,,,,,663.0,ITRA skipped because UTMB 663.0 <= threshold 680.0
Tom Lelièvre,660.0,Tom LELIEVRE,1.0,https://utmb.world/runner/6997898.tom.lelievre,,,,,,,,,660.0,ITRA skipped because UTMB 660.0 <= threshold 680.0
Rafel Bernat Prada,655.0,Rafel BERNAT PRADA,1.0,https://utmb.world/runner/2372089.rafel.bernatprada,,,,,,,,,655.0,ITRA skipped because UTMB 655.0 <= threshold 680.0
Alexis Guillon,649.0,Alexis GUILLON,1.0,https://utmb.world/runner/6185612.alexis.guillon,,,,,,,,,649.0,ITRA skipped because UTMB 649.0 <= threshold 680.0
Martin Panaville,649.0,Martin PANAVILLE,1.0,https://utmb.world/runner/6501572.martin.panaville,,,,,,,,,649.0,ITRA skipped because UTMB 649.0 <= threshold 680.0
GUYLLAUME FREY,645.0,Guyllaume FREY,1.0,https://utmb.world/runner/3819055.guyllaume.frey,,,,,,,,,645.0,ITRA skipped because UTMB 645.0 <= threshold 680.0
PIERRE-YVES PELISSON,751.0,Pierre-Yves PICHON,0.7894736842105262,https://utmb.world/runner/6558740.pierreyves.pichon,460.0,Pierre Yves PELISSON,1.0,https://itra.run/RunnerSpace/PELISSON.Pierre Yves/6249619,,,,,634.5999999999999,
Nicolas Piccard,633.0,Nicolas PICARD,0.8258620689655173,https://utmb.world/runner/3896977.nicolas.picard,,,,,,,,,633.0,ITRA skipped because UTMB 633.0 <= threshold 680.0
Thibaut Morand,627.0,Thibaut MORAND,1.0,https://utmb.world/runner/6414002.thibaut.morand,,,,,,,,,627.0,ITRA skipped because UTMB 627.0 <= threshold 680.0
Christophe Ribot,624.0,Christophe RIBOT,1.0,https://utmb.world/runner/1226733.christophe.ribot,,,,,,,,,624.0,ITRA skipped because UTMB 624.0 <= threshold 680.0
nathan millet-ursin,615.0,Nathan MILLET-URSIN,1.0,https://utmb.world/runner/1807445.nathan.milletursin,,,,,,,,,615.0,ITRA skipped because UTMB 615.0 <= threshold 680.0
Alexandre Vatin,614.0,Alexandre VATIN,1.0,https://utmb.world/runner/2599137.alexandre.vatin,,,,,,,,,614.0,ITRA skipped because UTMB 614.0 <= threshold 680.0
ADRIEN DELMAS,610.0,Adrien DELMAS,1.0,https://utmb.world/runner/3080895.adrien.delmas,,,,,,,,,610.0,ITRA skipped because UTMB 610.0 <= threshold 680.0
Philippe Bonnet,609.0,Philippe BONNET,1.0,https://utmb.world/runner/5455338.philippe.bonnet,,,,,,,,,609.0,ITRA skipped because UTMB 609.0 <= threshold 680.0
Julien Ducret,608.0,Julien DUCRET,1.0,https://utmb.world/runner/7537558.julien.ducret,,,,,,,,,608.0,ITRA skipped because UTMB 608.0 <= threshold 680.0
nicolas vergnes,605.0,Nicolas VERGNES,1.0,https://utmb.world/runner/2212271.nicolas.vergnes,,,,,,,,,605.0,ITRA skipped because UTMB 605.0 <= threshold 680.0
Morgan Aeschlimann,604.0,Morgan AESCHLIMANN,1.0,https://utmb.world/runner/876965.morgan.aeschlimann,,,,,,,,,604.0,ITRA skipped because UTMB 604.0 <= threshold 680.0
Etienne LAPORTE,601.0,Etienne LAPORTE,1.0,https://utmb.world/runner/385620.etienne.laporte,,,,,,,,,601.0,ITRA skipped because UTMB 601.0 <= threshold 680.0
STEPHANE METAIRIE,600.0,Stephane METAIRIE,1.0,https://utmb.world/runner/1071843.stephane.metairie,,,,,,,,,600.0,ITRA skipped because UTMB 600.0 <= threshold 680.0
Nicolas Botelho,600.0,Nicolas BOTELHO,1.0,https://utmb.world/runner/5315456.nicolas.botelho,,,,,,,,,600.0,ITRA skipped because UTMB 600.0 <= threshold 680.0
Damien Lambert,599.0,Damien LAMBERT,1.0,https://utmb.world/runner/196168.damien.lambert,,,,,,,,,599.0,ITRA skipped because UTMB 599.0 <= threshold 680.0
Pierre CHAUVEAU,598.0,Pierre CHAUVEAU,1.0,https://utmb.world/runner/4794008.pierre.chauveau,,,,,,,,,598.0,ITRA skipped because UTMB 598.0 <= threshold 680.0
Stephane Monteil,595.0,Stephane MONTEIL,1.0,https://utmb.world/runner/179641.stephane.monteil,,,,,,,,,595.0,ITRA skipped because UTMB 595.0 <= threshold 680.0
RUDY Werle,595.0,Rudy WERLE,1.0,https://utmb.world/runner/4052952.rudy.werle,,,,,,,,,595.0,ITRA skipped because UTMB 595.0 <= threshold 680.0
vincent saunier,587.0,Vincent SAUNIER,1.0,https://utmb.world/runner/6651410.vincent.saunier,,,,,,,,,587.0,ITRA skipped because UTMB 587.0 <= threshold 680.0
Patrice DONCQUE,586.0,Patrice DONCQUE,1.0,https://utmb.world/runner/1090773.patrice.doncque,,,,,,,,,586.0,ITRA skipped because UTMB 586.0 <= threshold 680.0
Teddy Poulenard,586.0,Teddy POULENARD,1.0,https://utmb.world/runner/1159997.teddy.poulenard,,,,,,,,,586.0,ITRA skipped because UTMB 586.0 <= threshold 680.0
Christophe Magnenaz,576.0,Christophe MAGNENAZ,1.0,https://utmb.world/runner/27904.christophe.magnenaz,,,,,,,,,576.0,ITRA skipped because UTMB 576.0 <= threshold 680.0
Julien Dehaynin,575.0,Julien DEHAYNIN,1.0,https://utmb.world/runner/1377603.julien.dehaynin,,,,,,,,,575.0,ITRA skipped because UTMB 575.0 <= threshold 680.0
Paco Hernandez Moya,572.0,Paco HERNANDEZ MOYA,1.0,https://utmb.world/runner/5553854.paco.hernandezmoya,,,,,,,,,572.0,ITRA skipped because UTMB 572.0 <= threshold 680.0
Luca Sonet,567.0,Luca SONET,1.0,https://utmb.world/runner/5597258.luca.sonet,,,,,,,,,567.0,ITRA skipped because UTMB 567.0 <= threshold 680.0
Mickaël Dupont,567.0,Mickael DUPONT,1.0,https://utmb.world/runner/922151.mickael.dupont,,,,,,,,,567.0,ITRA skipped because UTMB 567.0 <= threshold 680.0
Florian Chauvelin,566.0,Florian CHAUVELIN,1.0,https://utmb.world/runner/6993534.florian.chauvelin,,,,,,,,,566.0,ITRA skipped because UTMB 566.0 <= threshold 680.0
Quentin MERMET-GUYENET,,,,,566.0,Quentin MERMET GUYENET,1.0,https://itra.run/RunnerSpace/MERMET GUYENET.Quentin/5878315,,,,,566.0,UTMB not found
David Miguel,566.0,David MIGUEL,1.0,https://utmb.world/runner/38279.david.miguel,,,,,,,,,566.0,ITRA skipped because UTMB 566.0 <= threshold 680.0
Matthieu Chalendar,565.0,Matthieu CHALENDAR,1.0,https://utmb.world/runner/2964849.matthieu.chalendar,,,,,,,,,565.0,ITRA skipped because UTMB 565.0 <= threshold 680.0
Yohann Garcia,565.0,Yohann GARCIA,1.0,https://utmb.world/runner/475565.yohann.garcia,,,,,,,,,565.0,ITRA skipped because UTMB 565.0 <= threshold 680.0
Catherine Lonchamp,563.0,Catherine LONCHAMP,1.0,https://utmb.world/runner/1431765.catherine.lonchamp,,,,,,,,,563.0,ITRA skipped because UTMB 563.0 <= threshold 680.0
Florin Petrehus,562.0,Florin PETREHUS,1.0,https://utmb.world/runner/2354433.florin.petrehus,,,,,,,,,562.0,ITRA skipped because UTMB 562.0 <= threshold 680.0
Simon Creusot,562.0,Simon CREUSOT,1.0,https://utmb.world/runner/5639976.simon.creusot,,,,,,,,,562.0,ITRA skipped because UTMB 562.0 <= threshold 680.0
Bastien Bruneteau,561.0,Bastien BRUNETEAU,1.0,https://utmb.world/runner/5593812.bastien.bruneteau,,,,,,,,,561.0,ITRA skipped because UTMB 561.0 <= threshold 680.0
Arnaud MARCHE,560.0,Arnaud MARCHE,1.0,https://utmb.world/runner/1495159.arnaud.marche,,,,,,,,,560.0,ITRA skipped because UTMB 560.0 <= threshold 680.0
Raphaël Croibier,560.0,Raphaël CROIBIER,1.0,https://utmb.world/runner/5890550.raphael.croibier,,,,,,,,,560.0,ITRA skipped because UTMB 560.0 <= threshold 680.0
Emmanuel ROUX,558.0,Emmanuel ROUX,1.0,https://utmb.world/runner/5575828.emmanuel.roux,,,,,,,,,558.0,ITRA skipped because UTMB 558.0 <= threshold 680.0
emilien rougemont,555.0,Emilien ROUGEMONT,1.0,https://utmb.world/runner/6993286.emilien.rougemont,,,,,,,,,555.0,ITRA skipped because UTMB 555.0 <= threshold 680.0
Cédric Rébucini,554.0,Cédric RÉBUCINI,1.0,https://utmb.world/runner/8303642.cedric.rebucini,,,,,,,,,554.0,ITRA skipped because UTMB 554.0 <= threshold 680.0
Christophe Gaignard,552.0,Christophe GAIGNARD,1.0,https://utmb.world/runner/1109587.christophe.gaignard,,,,,,,,,552.0,ITRA skipped because UTMB 552.0 <= threshold 680.0
mélanie gellie,547.0,Melanie GELLIE,1.0,https://utmb.world/runner/1371247.melanie.gellie,,,,,,,,,547.0,ITRA skipped because UTMB 547.0 <= threshold 680.0
Valentin Poncet,545.0,Valentin PONCET,1.0,https://utmb.world/runner/3153793.valentin.poncet,,,,,,,,,545.0,ITRA skipped because UTMB 545.0 <= threshold 680.0
Fabian Dalloz,545.0,Fabian DALLOZ,1.0,https://utmb.world/runner/5834789.fabian.dalloz,,,,,,,,,545.0,ITRA skipped because UTMB 545.0 <= threshold 680.0
Guillaume Brouillet,542.0,Guillaume BROUILLET,1.0,https://utmb.world/runner/6296230.guillaume.brouillet,,,,,,,,,542.0,ITRA skipped because UTMB 542.0 <= threshold 680.0
Anne-France D’argent,540.0,Anne-France D ARGENT,1.0,https://utmb.world/runner/4994158.annefrance.dargent,,,,,,,,,540.0,ITRA skipped because UTMB 540.0 <= threshold 680.0
Steve Michelland,539.0,Steve MICHELLAND,1.0,https://utmb.world/runner/3515491.steve.michelland,,,,,,,,,539.0,ITRA skipped because UTMB 539.0 <= threshold 680.0
Nicolas COILLARD,536.0,Nicolas COILLARD,1.0,https://utmb.world/runner/5593146.nicolas.coillard,,,,,,,,,536.0,ITRA skipped because UTMB 536.0 <= threshold 680.0
Sébastien Jacquet,531.0,Sebastien JACQUET,1.0,https://utmb.world/runner/2067103.sebastien.jacquet,,,,,,,,,531.0,ITRA skipped because UTMB 531.0 <= threshold 680.0
yann brugiere,530.0,Yann BRUGIERE,1.0,https://utmb.world/runner/297297.yann.brugiere,,,,,,,,,530.0,ITRA skipped because UTMB 530.0 <= threshold 680.0
Romain GRASSET,526.0,Romain GRASSET,1.0,https://utmb.world/runner/496927.romain.grasset,,,,,,,,,526.0,ITRA skipped because UTMB 526.0 <= threshold 680.0
Sébastien Bouvier,521.0,Sébastien BOUVIER,1.0,https://utmb.world/runner/8303652.sebastien.bouvier,,,,,,,,,521.0,ITRA skipped because UTMB 521.0 <= threshold 680.0
Simon ROBELIN,520.0,Simon ROBELIN,1.0,https://utmb.world/runner/494842.simon.robelin,,,,,,,,,520.0,ITRA skipped because UTMB 520.0 <= threshold 680.0
Julien KIS,519.0,Julien KIS,1.0,https://utmb.world/runner/3515485.julien.kis,,,,,,,,,519.0,ITRA skipped because UTMB 519.0 <= threshold 680.0
Lea Garcia,518.0,Lea GARCIA,1.0,https://utmb.world/runner/7031770.lea.garcia,,,,,,,,,518.0,ITRA skipped because UTMB 518.0 <= threshold 680.0
Maxime CALVEZ,517.0,Maxime CALVEZ,1.0,https://utmb.world/runner/8436848.maxime.calvez,,,,,,,,,517.0,ITRA skipped because UTMB 517.0 <= threshold 680.0
Ludovic Gibaud,515.0,Ludovic GIBAUD,1.0,https://utmb.world/runner/3524049.ludovic.gibaud,,,,,,,,,515.0,ITRA skipped because UTMB 515.0 <= threshold 680.0
Marion PATISSIER,514.0,Marion PATISSIER,1.0,https://utmb.world/runner/5542123.marion.patissier,,,,,,,,,514.0,ITRA skipped because UTMB 514.0 <= threshold 680.0
Lionel Poulet,514.0,Lionel POULET,1.0,https://utmb.world/runner/5108178.lionel.poulet,,,,,,,,,514.0,ITRA skipped because UTMB 514.0 <= threshold 680.0
Arthur Connétable,513.0,Arthur CONNÉTABLE,1.0,https://utmb.world/runner/5890692.arthur.connetable,,,,,,,,,513.0,ITRA skipped because UTMB 513.0 <= threshold 680.0
Michaël Voirin,508.0,Michaël VOIRIN,1.0,https://utmb.world/runner/2087211.michael.voirin,,,,,,,,,508.0,ITRA skipped because UTMB 508.0 <= threshold 680.0
gilles revaclier,508.0,Gilles REVACLIER,1.0,https://utmb.world/runner/48379.gilles.revaclier,,,,,,,,,508.0,ITRA skipped because UTMB 508.0 <= threshold 680.0
Sébastien Nugues,508.0,Sébastien NUGUES,1.0,https://utmb.world/runner/1431799.sebastien.nugues,,,,,,,,,508.0,ITRA skipped because UTMB 508.0 <= threshold 680.0
Pierre-Louis Vidoni,506.0,Pierre-Louis VIDONI,1.0,https://utmb.world/runner/6986462.pierrelouis.vidoni,,,,,,,,,506.0,ITRA skipped because UTMB 506.0 <= threshold 680.0
Géraldine FAVRAT,505.0,Geraldine FAVRAT,1.0,https://utmb.world/runner/3524035.geraldine.favrat,,,,,,,,,505.0,ITRA skipped because UTMB 505.0 <= threshold 680.0
Nathalie Leclerc,505.0,Nathalie LECLERC,1.0,https://utmb.world/runner/2407819.nathalie.leclerc,,,,,,,,,505.0,ITRA skipped because UTMB 505.0 <= threshold 680.0
Rodolphe Sudan,504.0,Rodolphe SUDAN,1.0,https://utmb.world/runner/3392641.rodolphe.sudan,,,,,,,,,504.0,ITRA skipped because UTMB 504.0 <= threshold 680.0
Guillaume Vallet,504.0,Guillaume VALLET,1.0,https://utmb.world/runner/1565141.guillaume.vallet,,,,,,,,,504.0,ITRA skipped because UTMB 504.0 <= threshold 680.0
jean-romain gagliardini,502.0,Jean-Romain GAGLIARDINI,1.0,https://utmb.world/runner/5488998.jeanromain.gagliardini,,,,,,,,,502.0,ITRA skipped because UTMB 502.0 <= threshold 680.0
Pauline Fichaux,502.0,Pauline FICHAUX,1.0,https://utmb.world/runner/6994402.pauline.fichaux,,,,,,,,,502.0,ITRA skipped because UTMB 502.0 <= threshold 680.0
Aurélien Brunet,502.0,Aurélien BRUNET,1.0,https://utmb.world/runner/5842850.aurelien.brunet,,,,,,,,,502.0,ITRA skipped because UTMB 502.0 <= threshold 680.0
Guillaume Chevillard,502.0,Guillaume CHEVILLARD,1.0,https://utmb.world/runner/7816336.guillaume.chevillard,,,,,,,,,502.0,ITRA skipped because UTMB 502.0 <= threshold 680.0
Etienne Salvi,501.0,Etienne SALVI,1.0,https://utmb.world/runner/5342882.etienne.salvi,,,,,,,,,501.0,ITRA skipped because UTMB 501.0 <= threshold 680.0
Romain Bermond,498.0,Romain BERMOND,1.0,https://utmb.world/runner/1503445.romain.bermond,,,,,,,,,498.0,ITRA skipped because UTMB 498.0 <= threshold 680.0
David Bouquin,497.0,David BOUQUIN,1.0,https://utmb.world/runner/5089074.david.bouquin,,,,,,,,,497.0,ITRA skipped because UTMB 497.0 <= threshold 680.0
Dylan Higgins,497.0,Dylan HIGGINS,1.0,https://utmb.world/runner/6501578.dylan.higgins,,,,,,,,,497.0,ITRA skipped because UTMB 497.0 <= threshold 680.0
YVES MICHON,495.0,Yves MICHON,1.0,https://utmb.world/runner/116678.yves.michon,,,,,,,,,495.0,ITRA skipped because UTMB 495.0 <= threshold 680.0
Thomas VUILLET,494.0,Thomas VUILLET,1.0,https://utmb.world/runner/10781.thomas.vuillet,,,,,,,,,494.0,ITRA skipped because UTMB 494.0 <= threshold 680.0
Cedric Vuargnoz,494.0,Cedric VUARGNOZ,1.0,https://utmb.world/runner/595184.cedric.vuargnoz,,,,,,,,,494.0,ITRA skipped because UTMB 494.0 <= threshold 680.0
Nerys Roberts-Law,,,,,493.0,Nerys ROBERTS-LAW,1.0,https://itra.run/RunnerSpace/ROBERTS-LAW.Nerys/6757185,,,,,493.0,UTMB not found
tristan depierre,493.0,Tristan DEPIERRE,1.0,https://utmb.world/runner/5529740.tristan.depierre,,,,,,,,,493.0,ITRA skipped because UTMB 493.0 <= threshold 680.0
sebastien esbelin,493.0,Sébastien ESBELIN,1.0,https://utmb.world/runner/4020602.sebastien.esbelin,,,,,,,,,493.0,ITRA skipped because UTMB 493.0 <= threshold 680.0
Stéphane Loy,492.0,Stéphane LOY,1.0,https://utmb.world/runner/4198130.stephane.loy,,,,,,,,,492.0,ITRA skipped because UTMB 492.0 <= threshold 680.0
julien dorseuil,491.0,Julien DORSEUIL,1.0,https://utmb.world/runner/520578.julien.dorseuil,,,,,,,,,491.0,ITRA skipped because UTMB 491.0 <= threshold 680.0
Christophe Fleurisson,491.0,Christophe FLEURISSON,1.0,https://utmb.world/runner/5485365.christophe.fleurisson,,,,,,,,,491.0,ITRA skipped because UTMB 491.0 <= threshold 680.0
Romain Blondel,489.0,Romain BLONDEL,1.0,https://utmb.world/runner/6541764.romain.blondel,,,,,,,,,489.0,ITRA skipped because UTMB 489.0 <= threshold 680.0
Stephane Gay,489.0,Stephane GAY,1.0,https://utmb.world/runner/3132673.stephane.gay,,,,,,,,,489.0,ITRA skipped because UTMB 489.0 <= threshold 680.0
Ophelie Lacroix,488.0,Ophelie LACROIX,1.0,https://utmb.world/runner/1798135.ophelie.lacroix,,,,,,,,,488.0,ITRA skipped because UTMB 488.0 <= threshold 680.0
Maxime Prokop,488.0,Maxime PROKOP,1.0,https://utmb.world/runner/4163098.maxime.prokop,,,,,,,,,488.0,ITRA skipped because UTMB 488.0 <= threshold 680.0
Julien La Barbera,487.0,Julien LA BARBERA,1.0,https://utmb.world/runner/1251547.julien.labarbera,,,,,,,,,487.0,ITRA skipped because UTMB 487.0 <= threshold 680.0
Christine CATIN,487.0,Christine CATIN,1.0,https://utmb.world/runner/196578.christine.catin,,,,,,,,,487.0,ITRA skipped because UTMB 487.0 <= threshold 680.0
Émilie Rinaldi,486.0,Émilie RINALDI (Emilie RINALDI),0.7558139534883721,https://utmb.world/runner/6651454.emilie.rinaldi,,,,,,,,,486.0,ITRA skipped because UTMB 486.0 <= threshold 680.0
Mike JUSSELME,485.0,Mike JUSSELME,1.0,https://utmb.world/runner/7794684.mike.jusselme,,,,,,,,,485.0,ITRA skipped because UTMB 485.0 <= threshold 680.0
Emeric Bernard,485.0,Emeric BERNARD,1.0,https://utmb.world/runner/7896712.emeric.bernard,,,,,,,,,485.0,ITRA skipped because UTMB 485.0 <= threshold 680.0
Sylvain POULET,484.0,Sylvain POULET,1.0,https://utmb.world/runner/4714978.sylvain.poulet,,,,,,,,,484.0,ITRA skipped because UTMB 484.0 <= threshold 680.0
Philippe KANMACHER,484.0,Philippe KANMACHER,1.0,https://utmb.world/runner/650234.philippe.kanmacher,,,,,,,,,484.0,ITRA skipped because UTMB 484.0 <= threshold 680.0
Philippe Baraggia,482.0,Philippe BARAGGIA,1.0,https://utmb.world/runner/3392543.philippe.baraggia,,,,,,,,,482.0,ITRA skipped because UTMB 482.0 <= threshold 680.0
Adrien Vuargnoz,481.0,Adrien VUARGNOZ,1.0,https://utmb.world/runner/4774622.adrien.vuargnoz,,,,,,,,,481.0,ITRA skipped because UTMB 481.0 <= threshold 680.0
Sabine Miguel,481.0,Sabine MIGUEL,1.0,https://utmb.world/runner/246673.sabine.miguel,,,,,,,,,481.0,ITRA skipped because UTMB 481.0 <= threshold 680.0
Léo Conil-Gonnet,481.0,Léo CONIL-GONNET,1.0,https://utmb.world/runner/6064942.leo.conilgonnet,,,,,,,,,481.0,ITRA skipped because UTMB 481.0 <= threshold 680.0
Romain ZUCCALLI,479.0,Romain ZUCCALLI,1.0,https://utmb.world/runner/1837553.romain.zuccalli,,,,,,,,,479.0,ITRA skipped because UTMB 479.0 <= threshold 680.0
Anna Goy,477.0,Anna GOY,1.0,https://utmb.world/runner/5593834.anna.goy,,,,,,,,,477.0,ITRA skipped because UTMB 477.0 <= threshold 680.0
Laurent PUSSET,476.0,Laurent PUSSET,1.0,https://utmb.world/runner/3095387.laurent.pusset,,,,,,,,,476.0,ITRA skipped because UTMB 476.0 <= threshold 680.0
Sébastien Petit,476.0,Sébastien PETIT,1.0,https://utmb.world/runner/7418310.sebastien.petit,,,,,,,,,476.0,ITRA skipped because UTMB 476.0 <= threshold 680.0
nicole Joseph,474.0,Nicole JOSEPH,1.0,https://utmb.world/runner/4572516.nicole.joseph,,,,,,,,,474.0,ITRA skipped because UTMB 474.0 <= threshold 680.0
Matthieu Trotin,474.0,Matthieu TROTIN,1.0,https://utmb.world/runner/6614324.matthieu.trotin,,,,,,,,,474.0,ITRA skipped because UTMB 474.0 <= threshold 680.0
Nicolas Péchoux,474.0,Nicolas PÉCHOUX,1.0,https://utmb.world/runner/7896640.nicolas.pechoux,,,,,,,,,474.0,ITRA skipped because UTMB 474.0 <= threshold 680.0
Perrine Carel,471.0,Perrine CAREL,1.0,https://utmb.world/runner/2976419.perrine.carel,,,,,,,,,471.0,ITRA skipped because UTMB 471.0 <= threshold 680.0
Michaël Farny,468.0,Michaël FARNY,1.0,https://utmb.world/runner/6432246.michael.farny,,,,,,,,,468.0,ITRA skipped because UTMB 468.0 <= threshold 680.0
Theo Romano,468.0,Theo ROMANO,1.0,https://utmb.world/runner/7407606.theo.romano,,,,,,,,,468.0,ITRA skipped because UTMB 468.0 <= threshold 680.0
Olivier Brouillet,467.0,Olivier BROUILLET,1.0,https://utmb.world/runner/2512161.olivier.brouillet,,,,,,,,,467.0,ITRA skipped because UTMB 467.0 <= threshold 680.0
Thomas Peutin,466.0,Thomas PEUTIN,1.0,https://utmb.world/runner/6993614.thomas.peutin,,,,,,,,,466.0,ITRA skipped because UTMB 466.0 <= threshold 680.0
Yannice Berthault,464.0,Yannice BERTHAULT,1.0,https://utmb.world/runner/8303686.yannice.berthault,,,,,,,,,464.0,ITRA skipped because UTMB 464.0 <= threshold 680.0
