input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
Massimo Paladin,769.0,Massimo PALADIN,1.0,https://utmb.world/runner/921767.massimo.paladin,775.0,Massimo PALADIN,1.0,https://itra.run/RunnerSpace/PALADIN.Massimo/921767,78.41,PALADIN Massimo,1.0,https://www.betrail.run/runner/paladin.massimo/overview,771.4,
Martin Pariente,729.0,Martin PARIENTE,1.0,https://utmb.world/runner/5447626.martin.pariente,759.0,Martin PARIENTE,1.0,https://itra.run/RunnerSpace/PARIENTE.Martin/5100594,73.84,PARIENTE MARTIN,1.0,https://www.betrail.run/runner/pariente.martin/overview,741.0,
Nicolas Hamoumraoui,707.0,Nicolas HAMOUMRAOUI,1.0,https://utmb.world/runner/713004.nicolas.hamoumraoui,746.0,Nicolas HAMOUMRAOUI,1.0,https://itra.run/RunnerSpace/HAMOUMRAOUI.Nicolas/713004,,,,,722.6,
Yoann Dujardin,698.0,Yoann DUJARDIN,1.0,https://utmb.world/runner/7061138.yoann.dujardin,,,,,,,,,698.0,ITRA skipped because UTMB 698.0 <= threshold 700.0
Mathieu Muller,694.0,Mathieu MULLER,1.0,https://utmb.world/runner/8031430.mathieu.muller,,,,,,,,,694.0,ITRA skipped because UTMB 694.0 <= threshold 700.0
florent VERNET,675.0,Florent VERNET,1.0,https://utmb.world/runner/437847.florent.vernet,,,,,,,,,675.0,ITRA skipped because UTMB 675.0 <= threshold 700.0
Fabien Pelissier,653.0,Fabien PELISSIER,1.0,https://utmb.world/runner/139566.fabien.pelissier,,,,,,,,,653.0,ITRA skipped because UTMB 653.0 <= threshold 700.0
ludovic Martin,651.0,Ludovic MARTIN,1.0,https://utmb.world/runner/116694.ludovic.martin,,,,,,,,,651.0,ITRA skipped because UTMB 651.0 <= threshold 700.0
Corentin RODE,651.0,Corentin RODE,1.0,https://utmb.world/runner/766654.corentin.rode,,,,,,,,,651.0,ITRA skipped because UTMB 651.0 <= threshold 700.0
Yoann ROSE,649.0,Yoann ROSE,1.0,https://utmb.world/runner/1470195.yoann.rose,,,,,,,,,649.0,ITRA skipped because UTMB 649.0 <= threshold 700.0
Jonathan ARANDEL,647.0,Jonathan ARANDEL,1.0,https://utmb.world/runner/2638507.jonathan.arandel,,,,,,,,,647.0,ITRA skipped because UTMB 647.0 <= threshold 700.0
Paul Cadillon,635.0,Paul CADILLON,1.0,https://utmb.world/runner/5873900.paul.cadillon,,,,,,,,,635.0,ITRA skipped because UTMB 635.0 <= threshold 700.0
Aurelien Roche,635.0,Aurelien ROCHE,1.0,https://utmb.world/runner/1373359.aurelien.roche,,,,,,,,,635.0,ITRA skipped because UTMB 635.0 <= threshold 700.0
Damien SCHULLER,633.0,Damien SCHULLER,1.0,https://utmb.world/runner/5298252.damien.schuller,,,,,,,,,633.0,ITRA skipped because UTMB 633.0 <= threshold 700.0
Maxime BRULE,633.0,Maxime BRULE,1.0,https://utmb.world/runner/5958360.maxime.brule,,,,,,,,,633.0,ITRA skipped because UTMB 633.0 <= threshold 700.0
thomas soubeyrand,628.0,Thomas SOUBEYRAND,1.0,https://utmb.world/runner/557375.thomas.soubeyrand,,,,,,,,,628.0,ITRA skipped because UTMB 628.0 <= threshold 700.0
MARTIN GUILLAUME,627.0,Guillaume MARTIN,0.69375,https://utmb.world/runner/2580005.guillaume.martin,,,,,,,,,627.0,ITRA skipped because UTMB 627.0 <= threshold 700.0
Benjamin Chaprier,623.0,Benjamin CHAPRIER,1.0,https://utmb.world/runner/6150.benjamin.chaprier,,,,,,,,,623.0,ITRA skipped because UTMB 623.0 <= threshold 700.0
David Uliana,620.0,David ULIANA,1.0,https://utmb.world/runner/33457.david.uliana,,,,,,,,,620.0,ITRA skipped because UTMB 620.0 <= threshold 700.0
Baptiste Guionnet,616.0,Baptiste GUIONNET,1.0,https://utmb.world/runner/1249371.baptiste.guionnet,,,,,,,,,616.0,ITRA skipped because UTMB 616.0 <= threshold 700.0
Vincent DUTOUR,615.0,Vincent DUTOUR,1.0,https://utmb.world/runner/4305119.vincent.dutour,,,,,,,,,615.0,ITRA skipped because UTMB 615.0 <= threshold 700.0
Michael Maurin,614.0,Michael MAURIN,1.0,https://utmb.world/runner/156829.michael.maurin,,,,,,,,,614.0,ITRA skipped because UTMB 614.0 <= threshold 700.0
Thibaud SABATIER,600.0,Thibaud SABATIER,1.0,https://utmb.world/runner/4411064.thibaud.sabatier,,,,,,,,,600.0,ITRA skipped because UTMB 600.0 <= threshold 700.0
Pierre RUBELLIN,599.0,Pierre RUBELLIN,1.0,https://utmb.world/runner/263848.pierre.rubellin,,,,,,,,,599.0,ITRA skipped because UTMB 599.0 <= threshold 700.0
Guillaume Fleury,598.0,Guillaume FLEURY,1.0,https://utmb.world/runner/1431399.guillaume.fleury,,,,,,,,,598.0,ITRA skipped because UTMB 598.0 <= threshold 700.0
Florian Sanys,597.0,Florian SANYS,1.0,https://utmb.world/runner/437915.florian.sanys,,,,,,,,,597.0,ITRA skipped because UTMB 597.0 <= threshold 700.0
Colin Dubessy,597.0,Colin DUBESSY,1.0,https://utmb.world/runner/6435010.colin.dubessy,,,,,,,,,597.0,ITRA skipped because UTMB 597.0 <= threshold 700.0
Lucien Bertaud du Chazaud,595.0,Lucien BERTAUD DU CHAZAUD,1.0,https://utmb.world/runner/4844326.lucien.bertaudduchazaud,,,,,,,,,595.0,ITRA skipped because UTMB 595.0 <= threshold 700.0
Lucas Ranchoux,595.0,Lucas RANCHOUX,1.0,https://utmb.world/runner/6842806.lucas.ranchoux,,,,,,,,,595.0,ITRA skipped because UTMB 595.0 <= threshold 700.0
Joel Lassara,592.0,Joel LASSARA,1.0,https://utmb.world/runner/116557.joel.lassara,,,,,,,,,592.0,ITRA skipped because UTMB 592.0 <= threshold 700.0
Matthieu DUVAIL,592.0,Matthieu DUVAIL,1.0,https://utmb.world/runner/1940695.matthieu.duvail,,,,,,,,,592.0,ITRA skipped because UTMB 592.0 <= threshold 700.0
