input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,combined_score,notes
aurélien dunand-pallaz,876.0,Aurelien DUNAND PALLAZ,1.0,https://utmb.world/runner/11045.aurelien.dunandpallaz,,,,,876.0,ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
VALENTIN lacroix,823.0,Valentin LACROIX,1.0,https://utmb.world/runner/440430.valentin.lacroix,,,,,823.0,ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
Jean-Marie THEVENARD,812.0,Jean-Marie THEVENARD,1.0,https://utmb.world/runner/42922.jeanmarie.thevenard,,,,,812.0,ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
Loïs Ardiet,798.0,Loïs ARDIET,1.0,https://utmb.world/runner/6174730.lois.ardiet,,,,,798.0,ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403; /api/runner/find HTTP 403; /api/runner/findByName HTTP 403
Thomas Rozé,784.0,Thomas ROZE,1.0,https://utmb.world/runner/444321.thomas.roze,816.0,Thomas ROZE,1.0,https://itra.run/RunnerSpace/ROZE.Thomas/444321,796.8,
Ronan Callet,788.0,Ronan CALLET,1.0,https://utmb.world/runner/4241927.ronan.callet,,,,,788.0,ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
Christophe Polaszek,772.0,Christophe POLASZEK,1.0,https://utmb.world/runner/525706.christophe.polaszek,785.0,Christophe POLASZEK,1.0,https://itra.run/RunnerSpace/POLASZEK.Christophe/525706,777.2,
Nicolas Marcy,777.0,Nicolas MARCY,1.0,https://utmb.world/runner/5627838.nicolas.marcy,,,,,777.0,ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
Thibaut Witvoet,770.0,Thibaut WITVOET,1.0,https://utmb.world/runner/3136227.thibaut.witvoet,,,,,770.0,ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
Léo Pargemin,772.0,Léo PARGEMIN,1.0,https://utmb.world/runner/1413837.leo.pargemin,760.0,Leo PARGEMIN,1.0,https://itra.run/RunnerSpace/PARGEMIN.Leo/1413837,767.2,
