input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
Simone Vigolo,800.0,Simone VIGOLO,1.0,https://utmb.world/runner/2230221.simone.vigolo,833.0,Simone VIGOLO,1.0,https://itra.run/RunnerSpace/VIGOLO.Simone/2230221,79.67,VIGOLO SIMONE,1.0,https://www.betrail.run/runner/vigolo.simone/overview,813.2,
Andrea Zanconato,796.0,Andrea ZANCONATO,1.0,https://utmb.world/runner/5451800.andrea.zanconato,,,,,79.82,ZANCONATO ANDREA,1.0,https://www.betrail.run/runner/zanconato.andrea/overview,796.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Giacomo Bernardi,763.0,Giacomo BERNARDI,1.0,https://utmb.world/runner/4152066.giacomo.bernardi,799.0,Giacomo BERNARDI,1.0,https://itra.run/RunnerSpace/BERNARDI.Giacomo/4152066,68.54,BERNARDI GIACOMO,1.0,https://www.betrail.run/runner/bernardi.giacomo/overview,777.4000000000001,ITRA stale score repo fallback used
Andrea Paladin,775.0,Andrea PALADIN,1.0,https://utmb.world/runner/4249759.andrea.paladin,,,,,79.63,PALADIN ANDREA,1.0,https://www.betrail.run/runner/paladin.andrea/overview,775.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Federico Ganassi Spallanzani,768.0,Federico GANASSI,0.709090909090909,https://utmb.world/runner/2693289.federico.ganassi,,,,,73.48,GANASSI SPALLANZANI FEDERICO,1.0,https://www.betrail.run/runner/ganassi.spallanzani.federico/overview,768.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Mirko Marchi,760.0,Mirko MARCHI,1.0,https://utmb.world/runner/4008935.mirko.marchi,,,,,74.75,MARCHI MIRKO,1.0,https://www.betrail.run/runner/marchi.mirko/overview,760.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Ion Coban,753.0,Ion COBAN,1.0,https://utmb.world/runner/4833268.ion.coban,,,,,73.13,COBAN ION,1.0,https://www.betrail.run/runner/coban.ion/overview,753.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Marco Ferrari,751.0,Marco FERRARI,1.0,https://utmb.world/runner/6747215.marco.ferrari,,,,,,,,,751.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Filip Jovic,749.0,Filip JOVIC,1.0,https://utmb.world/runner/4675496.filip.jovic,,,,,,,,,749.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Alberto Ferretto,742.0,Alberto FERRETTO,1.0,https://utmb.world/runner/588263.alberto.ferretto,,,,,69.59,FERRETTO Alberto,1.0,https://www.betrail.run/runner/ferretto.alberto/overview,742.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Carlo Martinelli,733.0,Carlo MARTINELLI,1.0,https://utmb.world/runner/1503041.carlo.martinelli,,,,,73.01,MARTINELLI CARLO,1.0,https://www.betrail.run/runner/martinelli.carlo/overview,733.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Stefano Maran,732.0,Stefano MARAN,1.0,https://utmb.world/runner/588261.stefano.maran,,,,,68.97,MARAN Stefano,1.0,https://www.betrail.run/runner/maran.stefano/overview,732.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Alberto Perobello,705.0,Alberto PEROBELLO,1.0,https://utmb.world/runner/7179328.alberto.perobello,766.0,Alberto PEROBELLO,1.0,https://itra.run/RunnerSpace/PEROBELLO.Alberto/5932796,,,,,729.4000000000001,ITRA stale score repo fallback used
Lorenzo Zarantonello,727.0,Lorenzo ZARANTONELLO,1.0,https://utmb.world/runner/4227051.lorenzo.zarantonello,,,,,,,,,727.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Luca Nardi,718.0,Luca NARDI,1.0,https://utmb.world/runner/4155382.luca.nardi,,,,,,,,,718.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
Gregor Höllrigl,711.0,Gregor HÖLLRIGL,1.0,https://utmb.world/runner/524929.gregor.hollrigl,,,,,72.15,HÖLLRIGL GREGOR,1.0,https://www.betrail.run/runner/hollrigl.gregor/overview,711.0,ITRA unavailable: Could not obtain ITRA CSRF token. (stopped after 8 consecutive failures)
